,image_name,prob1,prob2,prob3,prob4,prob5,target1,target2,target3,target4,target5,correct_prob1,correct_prob2,correct_prob3,correct_prob4,correct_prob5,confidence_mean
4433,1100608350001.jpg,0.04533954,0.10511713,0.22570491,0.47523576,0.330608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.47523576,0.0,0.4752357602119446
13445,2003279070003.jpg,0.059227787,0.1300046,0.236937,0.46845698,0.36809462,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46845698,0.0,0.4684569835662842
6551,1407706390002.jpg,0.04341071,0.09346381,0.17573498,0.46444649,0.35795832,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46444649,0.0,0.464446485042572
10463,1907967190003.jpg,0.03365761,0.07274234,0.16202115,0.45794538,0.3959181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45794538,0.0,0.4579453766345978
4679,1107300070003.jpg,0.049703054,0.10170062,0.18984492,0.45605013,0.29026783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45605013,0.0,0.4560501277446747
15370,2007771190003.jpg,0.053094804,0.112547465,0.22868827,0.44859707,0.3336208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44859707,0.0,0.4485970735549927
3700,0803409470005.jpg,0.026435727,0.06451738,0.15730521,0.44765323,0.31028223,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44765323,0.0,0.44765323400497437
6550,1407706390001.jpg,0.047505897,0.09067581,0.17668936,0.4460379,0.3335916,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4460379,0.0,0.4460378885269165
6399,1405110690002.jpg,0.034876835,0.07677228,0.15868278,0.4434812,0.33499485,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4434812,0.0,0.4434812068939209
11219,2001023630002.jpg,0.041420728,0.10762937,0.18113594,0.44344676,0.36215883,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44344676,0.0,0.4434467554092407
10461,1907967190001.jpg,0.03400488,0.073712915,0.15607734,0.4411546,0.38433594,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4411546,0.0,0.4411545991897583
15296,2007558790004.jpg,0.068406925,0.12683924,0.20129275,0.4088009,0.44080624,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44080624,0.44080623984336853
12835,2002480630003.jpg,0.042799927,0.0986873,0.20397016,0.44004828,0.309629,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.44004828,0.0,0.4400482773780823
15056,2006621290003.jpg,0.026311178,0.058608063,0.15337183,0.43865055,0.3060783,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43865055,0.0,0.43865054845809937
7829,1608104490003.jpg,0.043869257,0.091801316,0.19243509,0.43849358,0.3801439,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43849358,0.0,0.4384935796260834
13447,2003279070005.jpg,0.066504896,0.13300087,0.21255317,0.43821427,0.28271252,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43821427,0.0,0.4382142722606659
4677,1107300070001.jpg,0.019994723,0.0433262,0.12108578,0.43505582,0.27195776,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43505582,0.0,0.43505582213401794
